,Entity,Code,Year,kg/capita/yr,lbs/capita/yr
10370,United States,USA,1975,102.19,225.29
10371,United States,USA,1976,109.04,240.39
10372,United States,USA,1977,108.74,239.73
10373,United States,USA,1978,106.9,235.67
10374,United States,USA,1979,106.59,234.99
10375,United States,USA,1980,108.32,238.8
10376,United States,USA,1981,108.48,239.16
10377,United States,USA,1982,105.65,232.92
10378,United States,USA,1983,108.47,239.13
10379,United States,USA,1984,108.76,239.77
10380,United States,USA,1985,110.34,243.26
10381,United States,USA,1986,110.59,243.81
10382,United States,USA,1987,111.3,245.37
10383,United States,USA,1988,113.91,251.13
10384,United States,USA,1989,112.75,248.57
10385,United States,USA,1990,112.69,248.44
10386,United States,USA,1991,114.27,251.92
10387,United States,USA,1992,117.41,258.84
10388,United States,USA,1993,116.48,256.79
10389,United States,USA,1994,119.0,262.35
10390,United States,USA,1995,118.13,260.43
10391,United States,USA,1996,117.85,259.81
10392,United States,USA,1997,116.88,257.67
10393,United States,USA,1998,120.4,265.43
10394,United States,USA,1999,123.81,272.95
10395,United States,USA,2000,121.68,268.26
10396,United States,USA,2001,120.78,266.27
10397,United States,USA,2002,124.39,274.23
10398,United States,USA,2003,123.17,271.54
10399,United States,USA,2004,125.76,277.25
10400,United States,USA,2005,125.3,276.24
10401,United States,USA,2006,125.53,276.74
10402,United States,USA,2007,125.47,276.61
10403,United States,USA,2008,122.61,270.31
10404,United States,USA,2009,118.7,261.69
10405,United States,USA,2010,118.82,261.95
10406,United States,USA,2011,116.29,256.37
10407,United States,USA,2012,114.91,253.33
10408,United States,USA,2013,115.13,253.82
10409,United States,USA,2014,117.56,259.17
10410,United States,USA,2015,120.86,266.45
10411,United States,USA,2016,122.86,270.86
